size_B,stride_B,run_id,cycles,instr,llc_misses
134217728,1024,1,11901905531,1165484293,441083970
134217728,1024,2,11490282205,1165553837,428276675
134217728,1024,3,11346230479,1165281870,428719699
134217728,256,1,36697557197,4003626556,2140401513
134217728,256,2,37276561540,4004182939,2305802670
134217728,256,3,36437384416,4003176445,2192659183
134217728,64,1,113348637221,15347126705,6519161554
134217728,64,2,113111455097,15348144131,6589751869
134217728,64,3,113803615530,15349033511,6555903201
2097152,1024,1,11990600645,1164759845,433769409
2097152,1024,2,11716651394,1165060320,437127562
2097152,1024,3,11690760800,1164851507,435422599
2097152,256,1,36900795032,4001914958,2290797141
2097152,256,2,37421069880,4003343767,2316888588
2097152,256,3,36899750891,4002079077,2291220427
2097152,64,1,116211933266,15352159296,7044804596
2097152,64,2,114070812989,15350695711,6722765459
2097152,64,3,113360620881,15347149422,6565575015
262144,1024,1,11714059758,1165464348,439895422
262144,1024,2,11335772035,1165346958,441408660
262144,1024,3,11297811741,1165562188,428818172
262144,256,1,38787825153,4004928224,2449434829
262144,256,2,38977392052,4004977983,2461970306
262144,256,3,38905187683,4004994257,2453531639
262144,64,1,112465534229,15352557963,6899349702
262144,64,2,112580547383,15351376949,6884851009
262144,64,3,114408807165,15354762507,7113066815
32768,1024,1,11295812230,1165384787,425105880
32768,1024,2,11339608839,1165293128,423536150
32768,1024,3,11414515873,1165361360,429899948
32768,256,1,37899360867,4004290726,2373485584
32768,256,2,35197188661,4002823914,2173361800
32768,256,3,37804330614,4004025674,2368079502
32768,64,1,113916123523,15354098703,6828029890
32768,64,2,115758299700,15350475623,6570450979
32768,64,3,114546308983,15349461509,6647369910
33554432,1024,1,12373521919,1165191904,439127753
33554432,1024,2,12771018378,1165249865,445552511
33554432,1024,3,11836477588,1165029494,434949438
33554432,256,1,37413692230,4003574662,2306199717
33554432,256,2,35936591699,4002849550,2224547159
33554432,256,3,35965528606,4002785006,2196359038
33554432,64,1,113199106859,15348642830,6769913568
33554432,64,2,114233900004,15348263854,6705334489
33554432,64,3,112203603304,15347608545,6682672311
