working_set_bytes,latency_ns_mean,latency_ns_std,cycles_mean,cycles_std
8192,1.3728324,0.04548801500175622,4.804913400000001,0.15920805250614678
16384,1.3234587999999998,0.027204595479440517,4.6321058,0.09521608417804181
32768,1.3414994,0.08914946224627494,4.695247900000001,0.31202311786196235
65536,1.434787,0.018630925728476366,5.0217545,0.06520824004966728
131072,2.2155344,0.06994257214887102,7.754370400000001,0.24479900252104858
262144,3.0602472,0.16847486673744538,10.7108652,0.5896620335810588
524288,3.8277078,0.0839118086189303,13.396977300000003,0.29369133016625604
1048576,4.3910744,0.12098862425368756,15.3687604,0.42346018488790654
2097152,4.3637956,0.0642655922698919,15.273284600000002,0.22492957294462165
4194304,4.4494216,0.12325904438539183,15.572975600000001,0.4314066553488714
8388608,8.3870868,0.2996076457555782,29.354803800000003,1.0486267601445238
16777216,15.772164,0.4017783243549866,55.202574,1.4062241352424534
33554432,9.898443,0.26598083363750047,34.6445505,0.9309329177312518
67108864,22.4308084,1.7241383896212639,78.5078294,6.034484363674424
134217728,12.9497318,0.44405263518326354,45.324061300000004,1.5541842231414225
268435456,5.4302256,0.2899417057682456,19.0057896,1.0147959701888596
536870912,54.84563060000001,10.720405999903491,191.95970710000003,37.52142099966222
